ISO_A3,Country or region,Note,World Bank Region,"Total population, 2018","Total area, 2018",Evaluated area,Level 1 area (% of evaluated area),"Human development Index, 2017","Gross domestic product (USD per capita), 2018","Average theoretical potential (GHI, kWh/m2/day), long-term","Average practical potential (PVOUT Level 1, kWh/kWp/day), long-term","Average economic potential (LCOE, USD/kWh), 2018","Average PV seasonality index, long-term","PV equivalent area (% of total area), long-term","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (Wp per capita), 2018","Access to electricity (% of rural population), 2016","Electric power consumption (kWh per capita), 2014","Reliability of supply and transparency of tariff index, 2019","Approximate electricity Tariffs for SMEs (US cent/kWh), 2019"
MDV,Maldives,,SOA,515696,300.0,300,0.518518518518518,0.716864350572134,10223.6364890278,5.5933,4.4418,0.0958,1.3429,,9.4,18.2277931184264,100.0,,0.0,44.9
MEX,Mexico,,LCR,126190788,1943950.0,1943950,0.686815370043804,0.774034620773871,9698.0841865066,5.7277,4.9241,0.0902,1.3312,0.068,2541.0,20.1361766597416,100.0,2157.32394883914,7.0,11.5
MHL,Marshall Islands,,EAP,58413,180.0,180,0.190909090909091,,3621.17409480766,5.3744,4.2382,0.1029,1.1974,,,,89.0879896817433,,0.0,39.1
MKD,North Macedonia,,ECA,2082958,25220.0,25220,0.679658275199676,0.756687188111335,6083.71894832148,4.0494,3.8814,0.1095,2.4675,0.264,20.6,9.88978174307883,100.0,3496.52873867478,5.0,12.8
MLI,Mali,,AFR,19077690,1220190.0,1220190,0.402313628022095,0.426868860876469,901.403100689224,6.0178,4.6763,0.0909,1.2363,,19.6,1.02737805258393,1.7689984828541,,0.0,13.6
MLT,Malta,,MENA,483530,320.0,320,0.694323144104803,0.878186794658016,30074.7411850959,5.0071,4.5618,0.093,2.0342,4.866,127.3,263.272185800261,100.0,4924.54401944044,5.0,17.0
MMR,Myanmar,,EAP,53708395,653080.0,653080,0.517816797042198,0.578263212736457,1325.95292370622,4.6943,4.1414,0.1026,1.8282,0.01,54.9,1.02218656878501,39.7927429049178,215.298895443599,1.0,8.3
MNE,Montenegro,,ECA,622345,13450.0,13450,0.607327938903537,0.813692301889981,8760.69228579702,3.8614,3.8174,0.1116,2.322,0.208,3.4,5.46320770633652,100.0,4612.34139045689,5.0,13.3
MNG,Mongolia,,EAP,3170208,1553560.0,1553560,0.485830437709625,0.740816315447271,4103.69749259393,4.3193,4.7573,0.0898,1.8633,0.004,62.7,19.7778820821851,44.168604551646,2006.38888095267,3.0,5.9
MNP,Northern Mariana Islands (U.S.),,Other,56882,460.0,460,0.272887323943662,,28163.7848732364,5.5614,4.6546,0.0914,1.3183,,0.0,0.0,100.0,,,
MOZ,Mozambique,,AFR,29495962,786380.0,786380,0.85064926248419,0.436579911250829,490.167582289902,5.3819,4.435,0.0958,1.2337,0.009,17.0,0.576350078020849,4.95497106197218,478.921172329335,4.0,10.4
MRT,Mauritania,,AFR,4403319,1030700.0,1030700,0.24684244862119,0.519643720758591,1218.59640995207,6.0378,4.7491,0.0895,1.1962,,86.1,19.5534323086744,2.3,,2.0,17.7
MUS,Mauritius,,AFR,1265303,2030.0,2030,0.75688622754491,0.790120174836255,11238.6903948961,5.0132,4.2148,0.1015,1.3604,0.681,30.0,23.7097359288645,100.0,2182.50915591141,6.0,19.6
MWI,Malawi,,AFR,18143315,94280.0,94280,0.925213266848515,0.476552795348147,389.398033178836,5.5937,4.6006,0.0924,1.3821,,22.7,1.25114952807687,4.0,,0.0,11.5
MYS,Malaysia,,EAP,31528585,328550.0,328550,0.255352982699284,0.801807695215745,11238.9573725301,4.706,3.7399,0.1138,1.3214,0.215,437.8,13.8858118751603,100.0,4651.9587341816,8.0,11.6
NAM,Namibia,,AFR,2448255,823290.0,823290,0.72970642685086,0.646525269823004,5931.45388457263,6.4047,5.3791,0.0791,1.1716,0.002,78.8,32.1861897555606,28.7242268577304,1652.56902565727,6.0,13.5
NCL,New Caledonia (Fr.),,Other,284060,18280.0,18280,0.455132315847976,,,4.5737,3.9764,0.1076,1.3703,,32.8,115.468562979652,100.0,,,
NER,Niger,,AFR,22442948,1266700.0,1266700,0.303607281557757,0.353931192033396,411.688942542622,6.2647,4.837,0.0879,1.236,0.0,20.0,0.891148524694706,4.67992277139175,51.1950084399,0.0,19.3
NGA,Nigeria,,AFR,195874740,910770.0,910770,0.974075965131914,0.531809699209441,2028.18197017598,5.4364,4.2977,0.0997,1.3962,0.014,19.1,0.097511297270899,41.1,144.525462223266,0.0,13.6
NIC,Nicaragua,,LCR,6465513,120340.0,120340,0.691411773720543,0.657739789115881,2028.89689057351,5.0415,4.1085,0.104,1.3595,0.015,30.3,4.68640307428042,56.604743861928,568.313810807014,4.0,33.7
NLD,Netherlands,,Other,17231017,33690.0,33690,0.822191334499096,0.93063859254565,53024.0592130531,2.8649,2.8647,0.1241,4.3346,6.646,4150.0,240.844751067218,100.0,6712.774758245,8.0,10.6
NOR,Norway,up to parallel 60°N,Other,5314336,365123.0,54569,0.549278016029811,0.952522019675818,81807.198038676,2.5833,2.7612,0.1292,14.9727,4.282,68.4,12.8708459532856,100.0,22999.9345951283,8.0,10.0
NPL,Nepal,,SOA,28087871,143350.0,143350,0.277381049956969,0.574038025034974,1025.79835586617,4.5344,3.996,0.1064,1.5872,0.019,53.3,1.89761623442375,85.2,146.467864816665,0.0,11.4
NRU,Nauru,,EAP,12704,20.0,20,1.0,,9030.07106447406,5.8795,4.651,0.0913,1.1792,,0.7,55.1007556675063,,,,
NZL,New Zealand,,Other,4885500,263310.0,263310,0.416124026579844,0.916687629454361,41966.0091846374,3.5396,3.6774,0.097,1.8447,0.162,79.2,16.2112373349708,100.0,9026.32104131095,7.0,11.5
OMN,Oman,,MENA,4829483,309500.0,309500,0.44713229525487,0.820989395278129,16418.9269283158,6.2779,5.1683,0.0822,1.3377,0.045,8.2,1.6979043098402,100.0,6445.57341716204,7.0,5.1
PAK,Pakistan,,SOA,212215030,770880.0,770880,0.721696623375734,0.561602585681407,1472.89313366943,5.3411,4.7126,0.0906,1.3674,0.071,1568.1,7.38920330006786,98.807673698578,447.501002589131,0.0,18.7
PAN,Panama,,LCR,4176873,74340.0,74340,0.484053126129382,0.789320299890748,15575.0725482915,4.7445,3.9655,0.1077,1.4209,0.056,146.7,35.1219680368544,81.2950521000033,2064.17579713507,7.0,18.8
PER,Peru,,LCR,31989256,1280000.0,1280000,0.251690402008806,0.749772854574691,6947.2566270938,5.1463,4.901,0.0884,1.3556,0.013,345.1,10.7879970700163,75.5729045784838,1345.8795888743,6.0,17.1
PHL,Philippines,,EAP,106651922,298170.0,298170,0.457880969991697,0.698932372536762,3102.71336329931,4.7316,3.9324,0.1085,1.4902,0.124,886.4,8.31114886049592,86.2595592235837,696.346780059737,6.0,16.4
PLW,Palau,,EAP,17907,460.0,460,0.218283582089552,0.798478437520455,17317.872619646,4.9776,4.005,0.1063,1.3045,,1.3,72.597308315184,97.2302593103519,,0.0,31.1
PNG,Papua New Guinea,,EAP,8606316,452860.0,452860,0.179802978286466,0.54430400197213,2722.60467940151,4.4832,3.6919,0.1159,1.3586,,1.5,0.174290602390152,15.4713485991113,,4.0,30.3
POL,Poland,,ECA,37978548,306190.0,306190,0.764834054271282,0.865075040942413,15424.0460254454,2.977,2.9844,0.1192,4.8957,0.904,486.5,12.8098630837598,100.0,3971.79976131055,7.0,13.2
PRI,Puerto Rico (U.S.),,Other,3195153,8870.0,8870,0.658663028649386,,31651.3481514031,5.2681,4.3964,0.0969,1.1771,,165.2,51.7033143639757,100.0,,3.0,24.5
PRK,D. P. R. of Korea,,Other,25549819,120410.0,120410,0.532219353041391,,,3.8578,3.9158,0.1084,1.46,0.117,10.7,0.418789659527529,39.2442245483398,601.690047854253,,
PRT,Portugal,,Other,10281762,91606.0,91606,0.916908191662701,0.847113340712876,23145.7349562595,4.5656,4.3155,0.0826,2.0659,0.375,670.2,65.1833800471164,100.0,4662.60079980294,8.0,25.2
PRY,Paraguay,,LCR,6956071,397300.0,397300,0.541916922337706,0.701662434050934,5871.46706441738,5.0765,4.2814,0.0993,1.4517,0.015,0.0,0.0,96.1,1552.38421668465,3.0,6.5
PSE,West Bank and Gaza,,MENA,4569087,6020.0,6020,0.898371104815864,,3198.86664447405,5.6094,4.9348,0.0858,1.6342,,,,100.0,,5.0,17.1
PYF,French Polynesia (Fr.),,Other,277679,3660.0,3660,0.104322527015794,,,5.2558,4.3941,0.0745,1.2404,,34.0,122.443540923152,100.0,,,
QAT,Qatar,,MENA,2781677,11610.0,11610,0.896806879541364,0.855616448244128,69026.4688025751,5.8988,4.9174,0.0863,1.2303,1.775,5.1,1.83342638271805,100.0,14781.648325999,5.0,4.0
ROU,Romania,,ECA,19473936,230080.0,230080,0.756728820123837,0.81119175021268,12301.1864034302,3.5742,3.5236,0.1207,3.0688,0.257,1377.1,70.7150316196993,100.0,2584.41178726443,7.0,5.9
RUS,Russian Federation,up to parallel 60°N,ECA,144478050,16376870.0,8019565,0.448385654131115,0.816275486703012,11288.8724435206,3.1178,3.3552,0.2322,6.7024,0.102,545.7,3.7770443330319,100.0,6602.65752529282,8.0,8.2
RWA,Rwanda,,AFR,12301939,24670.0,24670,0.778885808937868,0.523946712393506,772.967838382225,5.0756,4.1021,0.1037,1.2195,,30.3,2.46302635706452,17.76,,5.0,13.9
SAU,Saudi Arabia,,MENA,33699947,2149690.0,2149690,0.384804359822393,0.853298638212284,23219.1304831033,6.208,5.1588,0.0859,1.2111,0.069,89.3,2.64985579947648,100.0,9401.36676935668,6.0,7.6
SDN,Sudan,,AFR,41801533,,1886068,0.46447426019864,0.502465678242747,977.273635724417,6.3227,4.9432,0.086,1.4209,,17.6,0.421037190191087,22.2029537626764,190.220886811296,3.0,4.4
SEN,Senegal,,AFR,15854360,192530.0,192530,0.825646827390275,0.505133722911853,1521.9535542169,5.7981,4.5835,0.0927,1.2806,0.009,134.0,8.45193372674772,38.3,229.351795106376,5.0,17.3
SGP,Singapore,,Other,5638676,709.0,709,0.486612339930151,0.932041606432207,64581.9440183954,4.4924,3.5513,0.1205,1.2648,35.19,150.0,26.6019895450634,,8844.68759301201,7.0,10.2
SLB,Solomon Islands,,EAP,652858,27990.0,27990,0.078786977850453,0.545960041430625,2162.65180398781,4.4017,3.6894,0.117,1.2783,,2.5,3.8293166354705,41.5360381350692,,3.0,67.4
