ISO_A3,Country or region,Note,World Bank Region,"Total population, 2018","Total area, 2018",Evaluated area,Level 1 area (% of evaluated area),"Human development Index, 2017","Gross domestic product (USD per capita), 2018","Average theoretical potential (GHI, kWh/m2/day), long-term","Average practical potential (PVOUT Level 1, kWh/kWp/day), long-term","Average economic potential (LCOE, USD/kWh), 2018","Average PV seasonality index, long-term","PV equivalent area (% of total area), long-term","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (Wp per capita), 2018","Access to electricity (% of rural population), 2016","Electric power consumption (kWh per capita), 2014","Reliability of supply and transparency of tariff index, 2019","Approximate electricity Tariffs for SMEs (US cent/kWh), 2019"
ABW,Aruba (Neth.),,Other,105845,180.0,180,0.847926267281106,,25630.2664922069,6.1098,4.9646,0.0853,1.1803,,6.1,57.6314422032217,92.4528443723035,,,
AFG,Afghanistan,,SOA,37172386,652860.0,652860,0.587350160673094,0.497695114045789,520.896602719135,5.4904,5.0159,0.0851,1.6665,,22.0,0.591837177199225,78.9610743548116,,0.0,17.6
AGO,Angola,,AFR,30809762,1246700.0,1246700,0.751833316269891,0.581178565460993,3432.38573600893,5.7467,4.6586,0.0919,1.3211,0.003,13.4,0.43492708577236,15.9842091217441,312.228824978484,3.0,4.6
ALB,Albania,,ECA,2866376,27400.0,27400,0.614858017880064,0.784910973404969,5253.63006411357,4.1954,4.0426,0.1051,2.3266,0.21,1.0,0.348872583359615,100.0,2309.36650255581,3.0,8.7
AND,Andorra,,Other,77006,470.0,470,0.110960757780785,0.857683594255898,42029.7627372989,4.049,4.199,0.0986,2.1531,,0.0,0.0,100.0,,,
ARE,United Arab Emirates,,MENA,9630959,71020.0,71020,0.593421865348981,0.862756660396514,43004.9486462341,6.0454,5.0043,0.0848,1.1793,0.732,493.5,51.2410031025986,100.0,11088.3502863794,8.0,11.0
ARG,Argentina,up to parallel 45°S,LCR,44494502,2736690.0,2475393,0.656025231717501,0.824849650008413,11652.5662897487,5.1243,4.5992,0.1084,1.6247,0.034,191.3,4.2994075987186,100.0,3074.70207056563,5.0,15.5
ARM,Armenia,,ECA,2951776,28470.0,28470,0.694657331536984,0.755112683179379,4212.07094272937,4.2241,4.1063,0.1038,2.4078,0.169,17.3,5.86087833223117,100.0,1961.61039526467,7.0,7.6
ASM,American Samoa (U.S.),,Other,55465,200.0,200,0.274590163934426,,11398.7774181949,4.9163,3.9826,0.1082,1.3005,,4.2,75.723429189579,,,,
ATG,Antigua and Barbuda,,LCR,96286,440.0,440,0.914545454545454,0.77953591018674,16864.3833609901,5.7543,4.7696,0.089,1.1877,,7.9,82.0472342812039,96.5468913480825,,4.0,43.7
AUS,Australia,,Other,24992369,7692020.0,7692020,0.229264111908583,0.938631285106575,57305.2990162045,5.7587,4.7071,0.0949,1.4737,0.019,9763.1,390.64323994256,100.0,10071.3989785006,7.0,23.1
AUT,Austria,,Other,8847037,82523.0,82523,0.427210695853971,0.9077551793932,51512.9054751534,3.2138,3.2571,0.1094,3.1889,1.25,1431.0,161.749069208143,100.0,8355.84195182134,7.0,9.8
AZE,Azerbaijan,,ECA,9942334,82670.0,82670,0.823314728989944,0.756965427408013,4721.17808673142,4.0422,3.8177,0.1116,2.0975,0.235,36.4,3.66111216943627,100.0,2202.39391828846,7.0,5.4
BDI,Burundi,,AFR,11175378,25680.0,25680,0.817563271016152,0.417216174255532,275.429603285318,5.1899,4.1723,0.1019,1.3202,,5.1,0.456360402305855,1.65223551976685,,0.0,15.7
BEL,Belgium,,Other,11422068,30280.0,30280,0.785622684525506,0.916066036844582,46556.0995671479,2.9436,2.9164,0.1219,3.9838,5.026,4025.6,352.440556298562,100.0,7709.12307788247,8.0,15.8
BEN,Benin,,AFR,11485048,112760.0,112760,0.988180118052715,0.514619672724906,901.954052193337,5.3253,4.1978,0.1015,1.4134,0.005,8.0,0.69655782021982,17.9698002077629,100.225122540037,0.0,19.6
BFA,Burkina Faso,,AFR,19751535,273600.0,273600,0.976009954325056,0.423423185255308,731.171716967411,5.8073,4.5701,0.093,1.2627,,61.8,3.12887074346374,0.765470963075056,,0.0,22.9
BGD,Bangladesh,,SOA,161356039,130170.0,130170,0.923039671362809,0.608155837031928,1698.26280233547,4.5955,3.8806,0.109,1.4717,0.242,201.1,1.24631220031374,68.85,320.204158205446,0.0,9.2
BGR,Bulgaria,,ECA,7024216,108560.0,108560,0.758936650939906,0.813006248671464,9272.62930360848,3.8729,3.7028,0.1147,2.6413,0.301,1035.6,147.432823819769,100.0,4708.92745757231,6.0,12.4
BHR,Bahrain,,MENA,1569439,778.0,778,0.760199004975124,0.84610833886364,24050.7575053956,5.7502,4.8686,0.0869,1.299,20.002,5.0,3.18585175976894,100.0,19596.9537638231,5.0,4.8
BHS,The Bahamas,,LCR,385640,10010.0,10010,0.689258896506693,0.80712629587972,31857.890145929,5.3607,4.5481,0.0936,1.2899,,1.3,3.37101960377554,100.0,,4.0,27.6
BIH,Bosnia and Herzegovina,,ECA,3323929,51200.0,51200,0.623169204085566,0.768450830849191,5951.32329883943,3.6591,3.5697,0.1195,2.7264,0.24,19.0,5.71612690884793,100.0,3446.76666750907,6.0,16.2
BLR,Belarus,,ECA,9485386,202988.0,202988,0.736146207604533,0.807529595527673,6289.93855308212,2.9377,2.9485,0.1446,6.4875,0.355,154.3,16.2671292449248,100.0,3679.9788400689,8.0,11.7
BLZ,Belize,,LCR,383071,22810.0,22810,0.421340578361681,0.707553154366279,5025.17810014332,5.0491,4.1768,0.1018,1.3431,,4.2,10.9640249457672,88.4200865737024,,4.0,19.5
BMU,Bermuda (U.K.),,Other,63968,54.0,54,0.987179487179487,,,4.7291,4.1838,0.1015,1.782,,0.0,0.0,,,,
BOL,Bolivia,,LCR,11353142,1083300.0,1083300,0.351001249012646,0.692536970509311,3548.59013979338,5.4239,4.9421,0.0884,1.261,0.003,71.0,6.25377538658461,79.145023819414,742.538399742886,6.0,17.0
BRA,Brazil,,LCR,209469333,8358140.0,8358140,0.538572461512847,0.759245369983666,8920.76210462979,5.2762,4.4042,0.1189,1.3414,0.03,2296.0,10.9610317038628,100.0,2619.96061573831,6.0,16.3
BRB,Barbados,,LCR,286641,430.0,430,0.808429118773946,0.800268630951227,16327.6072290756,5.7734,4.7151,0.0901,1.171,,24.0,83.7284268475201,100.0,,6.0,25.8
BRN,Brunei Darussalam,,Other,428962,5270.0,5270,0.120197904540163,0.853266971770683,31627.7420793167,4.8409,3.9009,0.1092,1.1982,0.392,1.2,2.79745059002895,100.0,10291.1640460845,7.0,5.2
BTN,Bhutan,,SOA,754394,38144.0,38144,0.044182472600801,0.612417609105288,3360.26686689029,3.9397,3.9158,0.1078,1.6063,,0.5,0.662783638257993,100.0,,4.0,5.4
BWA,Botswana,,AFR,2254126,566730.0,566730,0.474270415947558,0.716552128577548,8258.64166574691,6.0674,5.1069,0.0833,1.2137,0.003,2.9,1.28652967935244,37.4945434437789,1815.55806865223,0.0,14.4
CAF,Central African Republic,,AFR,4666377,622980.0,622980,0.573094083228261,0.36680934465729,509.970974805014,5.6971,4.4666,0.0952,1.4135,,0.3,0.064289704839536,0.363603775194712,,0.0,9.8
CAN,Canada,up to parallel 60°N,Other,37058856,9093510.0,5785872,0.216477764594935,0.925952398500717,46210.5476227883,3.2515,3.8155,0.1767,3.0875,0.297,3113.0,84.001513700261,100.0,15588.4871464315,6.0,13.3
CHE,Switzerland,,Other,8516543,39516.0,39516,0.391343552750225,0.943997570278117,82838.9294445761,3.3567,3.3639,0.106,3.275,2.129,2246.0,263.722028996977,100.0,7520.16602494502,7.0,12.3
CHL,Chile,up to parallel 45°S,LCR,18729160,743532.0,536574,0.478105448873869,0.84285878076783,15923.3590619893,5.7583,5.3647,0.0684,1.7559,0.054,2137.0,114.100151848775,100.0,3879.6756048595,7.0,9.7
CHN,China,,EAP,1392730000,9388210.0,9388210,0.506592231612732,0.751703946831174,9770.84708783314,4.1265,3.8825,0.0727,1.6704,0.463,175017.9,125.66534791381,100.0,3927.04449998901,6.0,15.5
CIV,Côte d'Ivoire,,AFR,25069229,318000.0,318000,0.979223939077954,0.492304502118357,1715.53123817013,5.0545,3.9999,0.1066,1.4071,0.01,8.3,0.331083177707619,38.1,274.730090490935,4.0,11.8
CMR,Cameroon,,AFR,25216237,472710.0,472710,0.675369179033555,0.55593848219278,1526.87571339209,5.2957,4.2771,0.1,1.4422,0.007,14.2,0.563129225030682,21.2703972709478,275.197913680616,0.0,14.1
COD,Democratic Republic of Congo,,AFR,84068091,2267050.0,2267050,0.469797019156301,0.457469212926028,561.777182390647,5.1879,4.2556,0.1002,1.3,0.002,6.8,0.080886813523576,0.4,108.516701140545,0.0,10.0
COG,Congo,,AFR,5244363,341500.0,341500,0.373135816004884,0.60628258195365,2147.76946104594,4.8604,3.7669,0.1132,1.2819,0.001,0.6,0.114408556387115,22.6253579795672,202.872128916055,0.0,8.2
COL,Colombia,,LCR,49648685,1109500.0,1109500,0.323290529166142,0.74704538259088,6651.29129267621,4.867,4.0492,0.1059,1.2776,0.027,86.5,1.74224151153248,95.7258094425259,1312.15750301437,6.0,13.2
COM,Comoros,,AFR,832322,1861.0,1861,0.446239273094397,0.503253554923297,1445.45080869998,5.0535,4.2856,0.1001,1.2003,,0.0,0.0,72.1928710702143,,0.0,26.8
CPV,Cabo Verde,,AFR,543767,4030.0,4030,0.708215297450425,0.654030718428243,3654.00734457117,5.6364,4.6823,0.0907,1.3394,,7.5,13.7926722290981,91.8302923938069,,2.0,28.9
CRI,Costa Rica,,LCR,4999441,51060.0,51060,0.476195965417867,0.793864631683322,12026.5475337333,4.8909,4.093,0.1048,1.4367,0.09,28.0,5.60062615000357,100.0,1942.48816990297,7.0,14.4
CUB,Cuba,,Other,11338138,104020.0,104020,0.738338800644567,0.777267605527158,8541.21067346641,5.4139,4.5409,0.0937,1.2519,0.079,96.2,8.48463830657203,100.0,1450.88371686603,,
CUW,Curaçao (Neth.),,Other,159849,444.0,444,0.973128598848369,,19457.5315232205,5.9645,4.8332,0.0879,1.181,0.711,18.0,112.60627216936,100.0,4797.67043595944,,
CYM,Cayman Islands (U.K.),,Other,64174,240.0,240,0.650306748466258,,56334.2139924148,5.5632,4.6273,0.0919,1.3016,,9.9,154.268083647583,,,,
CYP,Cyprus,,ECA,1189265,9240.0,9240,0.883054698912514,0.868784385398697,28159.3016999455,5.2104,4.6983,0.0905,1.8572,0.292,113.0,95.0166699600173,100.0,3624.97125277167,8.0,14.9
CZE,Czech Republic,,ECA,10625695,77220.0,77220,0.750171173651258,0.887561428889983,23078.5734865691,3.0809,3.0481,0.1167,3.8963,1.372,2077.5,195.516622677387,100.0,6258.89103703659,8.0,12.1
DEU,Germany,,Other,82927922,349360.0,349360,0.734342679843714,0.936043420154955,48195.5799044116,2.9777,2.9608,0.1119,4.3721,2.954,45930.0,553.854466532997,100.0,7035.48297471676,8.0,32.2
DJI,Djibouti,,MENA,958920,23180.0,23180,0.925820146661521,0.476005730901248,2050.20473202095,6.0575,4.7972,0.0886,1.3586,,0.3,0.31285195845326,2.01321839764316,,0.0,25.5
DMA,Dominica,,LCR,71625,750.0,750,0.458057395143488,0.715056593033423,7031.70975373279,4.9429,3.9702,0.1077,1.2988,,0.6,8.37696335078534,100.0,,7.0,34.5
DNK,Denmark,,Other,5797446,41990.0,41990,0.902991352333524,0.929474111110122,60726.4665351509,2.7671,2.8434,0.1252,6.3164,2.114,998.0,172.14476857568,100.0,5858.80153628748,7.0,20.3
DOM,Dominican Republic,,LCR,10627165,48310.0,48310,0.608923708012508,0.735797919422381,7650.07275254505,5.4198,4.5698,0.0932,1.1867,0.17,166.3,15.6485760783803,100.0,1615.51524233024,4.0,20.4
DZA,Algeria,,MENA,42228429,2381740.0,2381740,0.231928308876355,0.753767534742925,4278.85005953418,5.9225,4.9167,0.0867,1.3487,0.013,410.0,9.70909905267847,98.9553723612358,1362.87191909646,5.0,2.2
ECU,Ecuador,,LCR,17084357,248360.0,248360,0.345953486199037,0.751899752575632,6344.87197850057,4.3049,3.4015,0.1273,1.3669,0.05,25.6,1.49844679551007,99.8245984776873,1376.39311532627,7.0,11.7
EGY,Arab Republic of Egypt,,MENA,98423595,995450.0,995450,0.244044239182159,0.695607555788064,2549.13945832295,6.2591,5.2467,0.081,1.3142,0.081,750.0,7.62012401599434,100.0,1683.21351829557,3.0,8.0
ERI,Eritrea,,AFR,4475000,101000.0,101000,0.71576112891131,0.439978537976607,,6.0715,4.8948,0.087,1.4326,,2.7,0.603351955307263,39.274702930261,,,
ESP,Spain,,Other,46723749,499564.0,499564,0.854934347381477,0.891020216441035,30523.8592390473,4.5754,4.4127,0.081,1.932,0.352,4743.7,101.526527762145,100.0,5355.98700558221,8.0,24.8
EST,Estonia,,ECA,1320884,43470.0,43470,0.631324132195402,0.871042038946073,22927.7444174193,2.7161,2.8369,0.126,11.1862,0.691,11.0,8.3277562602015,100.0,6732.36747315611,8.0,8.5
ETH,Ethiopia,,AFR,109224559,1000000.0,1000000,0.831563062756385,0.462664091875582,772.312227821251,5.8501,4.6954,0.0908,1.5797,0.003,11.0,0.10070995113837,26.5,69.1987531624304,0.0,3.9
FJI,Fiji,,EAP,883483,18270.0,18270,0.265830502569463,0.740787954969557,6202.16226706496,4.3159,3.8151,0.1123,1.1737,,9.5,10.7528950755136,98.0183531811611,,4.0,20.3
FRA,France,,Other,66987244,547557.0,547557,0.809952832118077,0.900802439918752,41463.6440227034,3.4825,3.3861,0.0954,2.969,1.054,9483.4,141.570236864798,100.0,6939.52147366929,8.0,13.0
FSM,Federated States of Micronesia,,EAP,112640,700.0,700,0.229390681003584,0.627254687774862,3058.43181818182,4.7468,3.888,0.1148,1.2155,,1.8,15.9801136363636,70.6666888740954,,0.0,37.8
GAB,Gabon,,AFR,2119275,257670.0,257670,0.43925877763329,0.702216425753829,8029.82238356148,4.5444,3.6024,0.1181,1.3878,0.005,1.4,0.660603272345496,54.9649505185154,1167.85221361079,3.0,18.9
GBR,United Kingdom,,Other,66488991,241930.0,241930,0.851205226869897,0.921548922339409,42491.3644350973,2.5918,2.6127,0.1521,5.1346,2.452,13108.0,197.145419156684,100.0,5129.5277927902,8.0,17.2
GEO,Georgia,,ECA,3731000,69490.0,69490,0.467168594693119,0.77982232852556,4344.63095185476,3.7245,3.7084,0.115,2.2406,0.142,0.0,0.0,100.0,2693.97276022513,5.0,6.5
GHA,Ghana,,AFR,29767108,227540.0,227540,0.960033884007528,0.591738194472393,2202.31216470307,5.0959,4.0203,0.106,1.3914,0.022,63.6,2.13658646315255,66.6,351.301578961752,4.0,22.2
GIN,Guinea,,AFR,12414318,245720.0,245720,0.949532524095103,0.459111121636894,885.251228166811,5.5734,4.4374,0.0958,1.3842,,13.4,1.07939880386502,6.9,,0.0,19.6
GMB,The Gambia,,AFR,2280102,10120.0,10120,0.968690423815809,0.460067235697905,712.452397744265,5.7477,4.569,0.093,1.3353,,2.2,0.964869115504482,15.5292451736138,,0.0,20.0
GNB,Guinea-Bissau,,AFR,1874309,28120.0,28120,0.962539099349585,0.455303553228988,777.969921786711,5.6043,4.4576,0.0953,1.3895,,1.2,0.640235948288143,4.0,,0.0,24.9
GNQ,Equatorial Guinea,,AFR,1308974,28050.0,28050,0.688701656583574,0.590561035064195,10173.963020188,4.6,3.6671,0.116,1.3689,,0.0,0.0,52.5734810186781,,0.0,17.0
GRC,Greece,,Other,10727668,128900.0,128900,0.713319151301395,0.86993406704057,20324.2535641477,4.4501,4.143,0.0861,2.3675,0.324,2651.5,247.164621425644,100.0,5062.60642155232,7.0,19.5
GRD,Grenada,,LCR,111454,340.0,340,0.5,0.771948499181575,10833.6583303924,5.4136,4.4519,0.0972,1.2198,,2.4,21.5335474724999,92.344367980957,,3.0,27.6
GTM,Guatemala,,LCR,17247807,107160.0,107160,0.527526506306347,0.650311622520604,4549.01008110721,5.2525,4.3855,0.0974,1.3697,0.044,113.5,6.58054673269477,86.363775519219,577.897354201025,7.0,19.4
GUM,Guam (U.S.),,Other,165768,540.0,540,0.823975720789074,,35664.5016770046,5.5734,4.532,0.0938,1.3097,,34.8,209.931953091067,100.0,,,
GUY,Guyana,,LCR,779004,196850.0,196850,0.142450257549742,0.653637242981931,4634.68133523087,5.2123,4.1959,0.1014,1.2941,,10.2,13.0936426513856,81.8613599498453,,0.0,30.0
HKG,"Hong Kong, SAR",,EAP,7451000,1050.0,1050,0.404542228530873,0.932582914433701,48717.2912142538,3.905,3.2718,0.1301,1.4685,29.378,0.0,0.0,,6083.2699356802,8.0,15.4
HND,Honduras,,LCR,9587522,111890.0,111890,0.544028033935817,0.616716749357898,2482.73020626573,5.1649,4.2629,0.1,1.3638,0.026,516.0,53.8199547286567,72.1978981788138,619.836394903786,0.0,17.2
HRV,Croatia,,ECA,4089400,55960.0,55960,0.726788882318155,0.831102278842112,14869.0906823045,3.737,3.6306,0.1176,2.9073,0.292,61.0,14.916613684159,100.0,3714.38298844207,5.0,17.6
HTI,Haiti,,LCR,11123176,27560.0,27560,0.711808373155411,0.497945110627506,868.284799613704,5.5361,4.6766,0.0911,1.1474,0.007,2.6,0.233746189038095,,39.0558050576888,0.0,22.7
HUN,Hungary,,ECA,9768785,90530.0,90530,0.882357753250186,0.837844633948344,15938.8367965554,3.5222,3.4402,0.1035,3.4827,0.54,665.0,68.0739723517305,100.0,3965.95823348335,7.0,17.6
IDN,Indonesia,,EAP,267663435,1811570.0,1811570,0.326491991223382,0.693979663942119,3893.59607757239,4.6245,3.7674,0.112,1.3179,0.058,60.3,0.225282919200376,94.7731365689459,811.906904947585,5.8,10.7
IMN,Isle of Man (U.K.),,Other,84077,570.0,570,0.84182776801406,,79155.541672096,2.7203,2.7637,0.1287,6.0459,,,,100.0,,,
IND,India,,SOA,1352617328,2973190.0,2973190,0.873881110327512,0.639832910895806,2015.59048548675,5.0978,4.322,0.0682,1.7469,0.196,26869.1,19.8645244621619,77.6286901645437,804.514228089279,6.5,17.0
IRL,Ireland,,Other,4853506,68890.0,68890,0.854464602292873,0.938410058995056,78806.431996268,2.533,2.5126,0.1418,4.4904,0.941,28.7,5.91325116317977,100.0,5672.06413410796,8.0,19.7
IRN,Islamic Republic of Iran,,MENA,81800269,1628760.0,1628760,0.725800063900095,0.79805734320084,5627.74926845456,5.5238,4.9159,0.0868,1.5063,0.087,286.4,3.50121098012526,100.0,3022.12256298599,5.0,5.3
IRQ,Iraq,,MENA,38433600,434128.0,434128,0.586461364264743,0.685317077720091,5878.03856646219,5.4649,4.6783,0.0909,1.5638,0.073,36.5,0.949689854710462,100.0,1328.23041622952,0.0,9.5
ISR,Israel,,Other,8883800,21640.0,21640,0.927459131905299,0.903244841425405,41613.9980821758,5.7536,5.0763,0.0706,1.5279,1.463,1070.0,120.443954163759,100.0,6600.8982801222,6.0,11.9
